question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
2,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
3,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
4,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
5,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
6,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
7,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,A,A,A,1
8,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
9,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
10,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
11,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
12,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B.,B,B,1
13,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
14,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
15,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
16,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
17,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
18,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
19,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
20,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
21,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
22,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
23,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,A,A,A,1
24,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
25,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
26,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
27,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
28,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,A,A,A,1
29,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,A,A,A,1
30,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
31,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
32,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
33,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
34,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
35,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
36,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
37,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
38,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B),B,B,1
39,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
40,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
41,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
42,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
43,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
44,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
45,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
46,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
47,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
48,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
49,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,C,C,C,1
50,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,1,B,B,B,1
1,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
2,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
3,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
4,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
5,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
6,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
7,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,A,A,A,1
8,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
9,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
10,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
11,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
12,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B.,B,B,1
13,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
14,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
15,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
16,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
17,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
18,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
19,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
20,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
21,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
22,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
23,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,A,A,A,1
24,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
25,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
26,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
27,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
28,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,A,A,A,1
29,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,A,A,A,1
30,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
31,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
32,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
33,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
34,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
35,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
36,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
37,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
38,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
39,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
40,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
41,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
42,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
43,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
44,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
45,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
46,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
47,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
48,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
49,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,C,C,C,1
50,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,2,B,B,B,1
1,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B),B,B,1
2,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
3,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
4,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
5,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
6,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
7,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,A,A,A,1
8,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
9,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
10,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
11,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
12,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B.,B,B,1
13,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
14,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
15,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
16,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
17,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
18,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
19,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
20,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
21,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
22,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
23,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,A,A,A,1
24,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
25,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
26,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
27,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
28,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,A,A,A,1
29,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,A,A,A,1
30,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
31,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
32,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
33,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
34,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
35,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
36,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
37,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
38,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B),B,B,1
39,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
40,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
41,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
42,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
43,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
44,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
45,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
46,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
47,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
48,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
49,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,C,C,C,1
50,meta,meta-llama/Llama-4-Scout-17B-16E-Instruct,RAG+,0.7,3,B,B,B,1
