question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
2,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
3,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
4,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
5,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
6,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
7,deepseek,deepseek-chat,RAG+,0.7,1,A,A,A,1
8,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
9,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
10,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
11,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
12,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
13,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
14,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
15,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
16,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
17,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
18,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
19,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
20,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
21,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
22,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
23,deepseek,deepseek-chat,RAG+,0.7,1,A,A,A,1
24,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
25,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
26,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
27,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
28,deepseek,deepseek-chat,RAG+,0.7,1,A,A,A,1
29,deepseek,deepseek-chat,RAG+,0.7,1,B,B,A,0
30,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
31,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
32,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
33,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
34,deepseek,deepseek-chat,RAG+,0.7,1,C,C,C,1
35,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
36,deepseek,deepseek-chat,RAG+,0.7,1,B,B,B,1
