question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
2,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
3,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
4,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
5,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
6,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
7,anthropic,claude-haiku-4-5,RAG+,0.7,1,A,A,A,1
8,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
9,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
10,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
11,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
12,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
13,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
14,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
15,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
16,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
17,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
18,anthropic,claude-haiku-4-5,RAG+,0.7,1,A,A,B,0
19,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
20,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
21,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
22,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
23,anthropic,claude-haiku-4-5,RAG+,0.7,1,A,A,A,1
24,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
25,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
26,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
27,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
28,anthropic,claude-haiku-4-5,RAG+,0.7,1,A,A,A,1
29,anthropic,claude-haiku-4-5,RAG+,0.7,1,A,A,A,1
30,anthropic,claude-haiku-4-5,RAG+,0.7,1,C,C,C,1
31,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
32,anthropic,claude-haiku-4-5,RAG+,0.7,1,B,B,B,1
