question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
2,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
3,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
4,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
5,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
6,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
7,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,A,1
8,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
9,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
10,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
11,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
12,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
13,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
14,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
15,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
16,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
17,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
18,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
19,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,B,0
20,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
21,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
22,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
23,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,A,1
24,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
25,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
26,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,B,0
27,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
28,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,A,0
29,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,A,1
30,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
31,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
32,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
33,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
34,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,C,0
35,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
36,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
37,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
38,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
39,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,B,0
40,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
41,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
42,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
43,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,C,0
44,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
45,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,A,A,B,0
46,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
47,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
48,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
49,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,C,C,C,1
50,deepseek,deepseek-reasoner,RAG-,fixed/ignored,1,B,B,B,1
1,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
2,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
3,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
4,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,B,0
5,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
6,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
7,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,A,1
8,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
9,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
10,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
11,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
12,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,B,0
13,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
14,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
15,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
16,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
17,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
18,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
19,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,B,0
20,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
21,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
22,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
23,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,A,1
24,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
25,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
26,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
27,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
28,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,A,0
29,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,A,1
30,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
31,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
32,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
33,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
34,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
35,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
36,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
37,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
38,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
39,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,B,0
40,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
41,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
42,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
43,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,C,0
44,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
45,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,A,A,B,0
46,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
47,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
48,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
49,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,C,C,C,1
50,deepseek,deepseek-reasoner,RAG-,fixed/ignored,2,B,B,B,1
1,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
2,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
3,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
4,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
5,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
6,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
7,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,A,A,A,1
8,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
9,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
10,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
11,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
12,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
13,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
14,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
15,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
16,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
17,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
18,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
19,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,A,A,B,0
20,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
21,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
22,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
23,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,A,A,A,1
24,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
25,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
26,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,B,0
27,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
28,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,A,0
29,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,A,A,A,1
30,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,C,C,C,1
31,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
32,deepseek,deepseek-reasoner,RAG-,fixed/ignored,3,B,B,B,1
