question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
2,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
3,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
4,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
5,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
6,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
7,openai,gpt-4o-mini,RAG-,0.0,1,A,A,A,1
8,openai,gpt-4o-mini,RAG-,0.0,1,B,B,C,0
9,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
10,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
11,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
12,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
13,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
14,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
15,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
16,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
17,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
18,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
19,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
20,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
21,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
22,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
23,openai,gpt-4o-mini,RAG-,0.0,1,A,A,A,1
24,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
25,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
26,openai,gpt-4o-mini,RAG-,0.0,1,C,C,B,0
27,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
28,openai,gpt-4o-mini,RAG-,0.0,1,A,A,A,1
29,openai,gpt-4o-mini,RAG-,0.0,1,B,B,A,0
30,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
31,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
32,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
33,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
34,openai,gpt-4o-mini,RAG-,0.0,1,C,C,C,1
35,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
36,openai,gpt-4o-mini,RAG-,0.0,1,A,A,B,0
37,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
38,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
39,openai,gpt-4o-mini,RAG-,0.0,1,A,A,B,0
40,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
41,openai,gpt-4o-mini,RAG-,0.0,1,A,A,B,0
42,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
43,openai,gpt-4o-mini,RAG-,0.0,1,A,A,C,0
44,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
45,openai,gpt-4o-mini,RAG-,0.0,1,A,A,B,0
46,openai,gpt-4o-mini,RAG-,0.0,1,B,B,B,1
47,openai,gpt-4o-mini,RAG-,0.0,1,A,A,B,0
