question_id,model_family,model_version,rag_condition,temperature,run_number,raw_output,parsed_answer,correct_answer,is_correct
1,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
2,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
3,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
4,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
5,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
6,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
7,google,gemini-2.5-flash,RAG+,0.7,1,A,A,A,1
8,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
9,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
10,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
11,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
12,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
13,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
14,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
15,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
16,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
17,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
18,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
19,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
20,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
21,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
22,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
23,google,gemini-2.5-flash,RAG+,0.7,1,A,A,A,1
24,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
25,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
26,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
27,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
28,google,gemini-2.5-flash,RAG+,0.7,1,A,A,A,1
29,google,gemini-2.5-flash,RAG+,0.7,1,A,A,A,1
30,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
31,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
32,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
33,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
34,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
35,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
36,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
37,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
38,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
39,google,gemini-2.5-flash,RAG+,0.7,1,A,A,B,0
40,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
41,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
42,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
43,google,gemini-2.5-flash,RAG+,0.7,1,A,A,C,0
44,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
45,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
46,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
47,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
48,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
49,google,gemini-2.5-flash,RAG+,0.7,1,C,C,C,1
50,google,gemini-2.5-flash,RAG+,0.7,1,B,B,B,1
1,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
2,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
3,google,gemini-2.5-flash,RAG+,0.7,2,B),B,B,1
4,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
5,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
6,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
7,google,gemini-2.5-flash,RAG+,0.7,2,A,A,A,1
8,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
9,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
10,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
11,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
12,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
13,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
14,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
15,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
16,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
17,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
18,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
19,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
20,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
21,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
22,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
23,google,gemini-2.5-flash,RAG+,0.7,2,A,A,A,1
24,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
25,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
26,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
27,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
28,google,gemini-2.5-flash,RAG+,0.7,2,A,A,A,1
29,google,gemini-2.5-flash,RAG+,0.7,2,A,A,A,1
30,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
31,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
32,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
33,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
34,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
35,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
36,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
37,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
38,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
39,google,gemini-2.5-flash,RAG+,0.7,2,A,A,B,0
40,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
41,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
42,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
43,google,gemini-2.5-flash,RAG+,0.7,2,A,A,C,0
44,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
45,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
46,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
47,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
48,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
49,google,gemini-2.5-flash,RAG+,0.7,2,C,C,C,1
50,google,gemini-2.5-flash,RAG+,0.7,2,B,B,B,1
1,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
2,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
3,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
4,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
5,google,gemini-2.5-flash,RAG+,0.7,3,C,C,C,1
6,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
7,google,gemini-2.5-flash,RAG+,0.7,3,A,A,A,1
8,google,gemini-2.5-flash,RAG+,0.7,3,C,C,C,1
9,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
10,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
11,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
12,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
13,google,gemini-2.5-flash,RAG+,0.7,3,C,C,C,1
14,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
15,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
16,google,gemini-2.5-flash,RAG+,0.7,3,C,C,C,1
17,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
18,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
19,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
20,google,gemini-2.5-flash,RAG+,0.7,3,C,C,C,1
21,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
22,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
23,google,gemini-2.5-flash,RAG+,0.7,3,A,A,A,1
24,google,gemini-2.5-flash,RAG+,0.7,3,B,B,B,1
